team	hour	population
1	1	30
1	2	20
1	3	30
1	4	23
1	5	3
1	6	2
1	7	0
1	8	9
1	9	25
1	10	1
1	11	7
1	12	1
1	13	22
1	14	25
1	15	7
1	16	25
1	17	21
1	18	4
1	19	17
1	20	20
1	21	4
1	22	4
1	23	6
1	24	12
2	1	6
2	2	22
2	3	0
2	4	0
2	5	23
2	6	5
2	7	4
2	8	8
2	9	28
2	10	9
2	11	21
2	12	26
2	13	8
2	14	29
2	15	0
2	16	22
2	17	5
2	18	30
2	19	22
2	20	11
2	21	12
2	22	9
2	23	30
2	24	13
3	1	5
3	2	8
3	3	4
3	4	0
3	5	12
3	6	2
3	7	5
3	8	12
3	9	30
3	10	13
3	11	24
3	12	24
3	13	10
3	14	18
3	15	14
3	16	19
3	17	0
3	18	21
3	19	21
3	20	16
3	21	9
3	22	5
3	23	24
3	24	7
