team	hour	population
1	1	16
1	2	20
1	3	0
1	4	13
1	5	0
1	6	2
1	7	0
1	8	9
1	9	25
1	10	9
1	11	7
1	12	21
1	13	17
1	14	16
1	15	10
1	16	15
1	17	11
1	18	25
1	19	17
1	20	20
1	21	9
1	22	4
1	23	0
1	24	12
2	1	6
2	2	2
2	3	0
2	4	0
2	5	0
2	6	2
2	7	4
2	8	11
2	9	22
2	10	4
2	11	21
2	12	22
2	13	18
2	14	25
2	15	20
2	16	20
2	17	25
2	18	0
2	19	22
2	20	11
2	21	12
2	22	9
2	23	0
2	24	13
3	1	5
3	2	8
3	3	8
3	4	0
3	5	0
3	6	2
3	7	5
3	8	12
3	9	14
3	10	23
3	11	24
3	12	24
3	13	10
3	14	18
3	15	14
3	16	19
3	17	10
3	18	1
3	19	21
3	20	16
3	21	9
3	22	5
3	23	4
3	24	7
